author,headline,content
鉅亨網記者張欽發 台北,廣運轉投資中國安徽建案動土 擬Q4進入預售階段,"廣運 (6125-TW) 透過在中國大陸投資事業進行再投資的房地產開發項目再增加一項，廣運在中國安徽宣城參與開發的住宅，於 17 日正式動土，廣運主管指出，此一地產開發項目爲社區開發的最終一期，預計在 2023 年第四季進入預售階段。
廣運此一投資中國安徽宣城的地產項目，主要是透過在中國大陸的子公司執行，投資金額爲人民幣 1.12 億元 (折合新台幣 4.88 億元)，取得項目開發商安徽榮運置業發展公司的 35% 股權。
廣運過去在中國大陸的地產開發項目已有經驗，廣運過去在蘇州的舊廠開發爲住宅大樓及投資蘇州金雞湖畔的商辦大樓都有獲利。此次廣運中國安徽宣城參與開發的住宅案，並由廣運董事長謝清福親自參與。
廣運對兩岸的地產投資案執行加速，日前並以 18 億元取得在桃園平鎮的工業不動產。
更多鉅亨報導•廣運自動化及智慧製造進一步搶攻半導體、公共工程需求•〈焦點股〉廣運轉盈大方配股利1.62元 今爆萬張大量衝半年高價"
時報資訊,《產業》廣運、其陽、工研院攜手 發表雙相浸沒式冷卻技術,"【時報記者任珮云台北報導】廣運(6125)、其陽(3564)和工業技術研究院(ITRI)今天公開攜手合作，針對其陽(3564)的SCB-1946 網路伺服器，導入先進的雙相浸沒式冷卻技術，實現高效能的熱管理並提升能源使用效率。並預計於2023年台北國際電腦展(Computex展)，發表此項先進液冷浸沒產品。
雙相浸入式冷卻技術是高性能計算（High Performance Computing, HPC）應用中，最佳的散熱解決方案之一。 在三方合作中，廣運(6125)與其陽(3564)與共同開發 2U雙相浸沒式冷卻系統，並與工研院電光系統所合作進行冷凝器的設計優化，以及晶片端的沸騰增強設計，進而開發出兼具高散熱能力與降低冷卻耗能之解決方案。
廣運(6125)兩相浸沒式散熱設計應用於其陽(3564)的SCB-1946網路伺服器，並與工研院電光系統所進行技術合作開發，整體系統散熱能力超過2,000W，電力使用效率（Power Usage Efficiency, PUE）接近1.0，滿足綠色供應鏈共創淨零碳排能，及「環境保護」、「社會責任」、「公司治理」ESG永續目標，同時還從經濟角度降低了運營成本。
廣運擁有47年的自動化研發製造能力，以及擁有大型公共工程自動化建置經驗。從2018年10月開始投入IDC產業的熱傳領域，並開發出適合企業及資料數據中心(Data Center)的大型液冷散熱產品，包含水對氣/水對水/單向浸沒式/雙向浸沒式等產品，同時提供系統業者開發CPU及GPU的氣冷解決方案。在散熱領域提供客戶 (Design for cost ；Design for budget) 的熱傳完整解決方案，使客戶在技術及成本上更具競爭力。
其陽為佳世達集團成員之一，為任何規模的客戶提供網絡設備的設計，擁有超過20年高性能網絡設備的經驗，受到國際頂級網路安全專家的信賴，提供Intel及AMD全系列處理器產品，運用靈活的硬體選購方案，滿足客戶的各種硬體需求，成為客戶值得信賴的合作夥伴。
工研院是世界領先的技術研發機構之一，以科技研發，帶動產業發展，創造經濟價值，增進社會福祉為任務。應對市場需求和全球趨勢。工研院推出2030 技術戰略和路線圖，重點關注智能生活、品質健康和可持續環境方面的創新發展，並著力強化智能化賦能技術，支撐多元化應用。自1973年成立以來，工研院累積近三萬件專利，並致力於孵化初創企業和衍生企業，其中包括聯電和台積電等知名企業。 除台灣總部外，工研院在美國、歐洲及日本設有分公司，致力擴大研發範圍及促進全球國際合作。"
時報資訊,《產業》廣運、其陽、工研院攜手 發表雙相浸沒式冷卻技術,"【時報記者任珮云台北報導】廣運(6125)、其陽(3564)和工業技術研究院(ITRI)今天公開攜手合作，針對其陽(3564)的SCB-1946 網路伺服器，導入先進的雙相浸沒式冷卻技術，實現高效能的熱管理並提升能源使用效率。並預計於2023年台北國際電腦展(Computex展)，發表此項先進液冷浸沒產品。
雙相浸入式冷卻技術是高性能計算（High Performance Computing, HPC）應用中，最佳的散熱解決方案之一。 在三方合作中，廣運(6125)與其陽(3564)與共同開發 2U雙相浸沒式冷卻系統，並與工研院電光系統所合作進行冷凝器的設計優化，以及晶片端的沸騰增強設計，進而開發出兼具高散熱能力與降低冷卻耗能之解決方案。
廣運(6125)兩相浸沒式散熱設計應用於其陽(3564)的SCB-1946網路伺服器，並與工研院電光系統所進行技術合作開發，整體系統散熱能力超過2,000W，電力使用效率（Power Usage Efficiency, PUE）接近1.0，滿足綠色供應鏈共創淨零碳排能，及「環境保護」、「社會責任」、「公司治理」ESG永續目標，同時還從經濟角度降低了運營成本。
廣運擁有47年的自動化研發製造能力，以及擁有大型公共工程自動化建置經驗。從2018年10月開始投入IDC產業的熱傳領域，並開發出適合企業及資料數據中心(Data Center)的大型液冷散熱產品，包含水對氣/水對水/單向浸沒式/雙向浸沒式等產品，同時提供系統業者開發CPU及GPU的氣冷解決方案。在散熱領域提供客戶 (Design for cost ；Design for budget) 的熱傳完整解決方案，使客戶在技術及成本上更具競爭力。
其陽為佳世達集團成員之一，為任何規模的客戶提供網絡設備的設計，擁有超過20年高性能網絡設備的經驗，受到國際頂級網路安全專家的信賴，提供Intel及AMD全系列處理器產品，運用靈活的硬體選購方案，滿足客戶的各種硬體需求，成為客戶值得信賴的合作夥伴。
工研院是世界領先的技術研發機構之一，以科技研發，帶動產業發展，創造經濟價值，增進社會福祉為任務。應對市場需求和全球趨勢。工研院推出2030 技術戰略和路線圖，重點關注智能生活、品質健康和可持續環境方面的創新發展，並著力強化智能化賦能技術，支撐多元化應用。自1973年成立以來，工研院累積近三萬件專利，並致力於孵化初創企業和衍生企業，其中包括聯電和台積電等知名企業。 除台灣總部外，工研院在美國、歐洲及日本設有分公司，致力擴大研發範圍及促進全球國際合作。"
中央社,廣運攜手其陽與工研院 開發雙相浸沒式冷卻技術,"（中央社記者張建中新竹2023年5月24日電）廣運 (6125) 今天宣布，與其陽 (3564) 和工研院攜手合作，針對其陽的網路伺服器，導入雙相浸沒式冷卻技術，實現高效能的熱管理，提升能源使用效率。
廣運表示，雙相浸沒式冷卻技術是高效能運算（HPC）應用中較佳的散熱解決方案之一。廣運與其陽共同開發雙相浸沒式冷卻系統，並與工研院電光系統所合作進行冷凝器的設計優化，以及晶片端的沸騰增強設計，進而開發出兼具高散熱能力與降低冷卻耗能的解決方案。
廣運指出，透過三方合作開發出的系統散熱能力超過2000W，電力使用效率（PUE）接近1.0，符合綠色供應鏈淨零碳排發展趨勢，從經濟角度，還有助降低運營成本。
廣運自2018年10月開始投入熱傳領域，開發適合企業及資料數據中心的大型液冷散熱產品，包含水對氣/水對水/單向浸沒式/雙向浸沒式等產品，同時提供系統業者開發中央處理器（CPU）及繪圖處理器（GPU）的氣冷解決方案。廣運預計在台北國際電腦展中展出雙相浸沒式產品。"
中央社,廣運攜手其陽與工研院 開發雙相浸沒式冷卻技術,"（中央社記者張建中新竹2023年5月24日電）廣運 (6125) 今天宣布，與其陽 (3564) 和工研院攜手合作，針對其陽的網路伺服器，導入雙相浸沒式冷卻技術，實現高效能的熱管理，提升能源使用效率。
廣運表示，雙相浸沒式冷卻技術是高效能運算（HPC）應用中較佳的散熱解決方案之一。廣運與其陽共同開發雙相浸沒式冷卻系統，並與工研院電光系統所合作進行冷凝器的設計優化，以及晶片端的沸騰增強設計，進而開發出兼具高散熱能力與降低冷卻耗能的解決方案。
廣運指出，透過三方合作開發出的系統散熱能力超過2000W，電力使用效率（PUE）接近1.0，符合綠色供應鏈淨零碳排發展趨勢，從經濟角度，還有助降低運營成本。
廣運自2018年10月開始投入熱傳領域，開發適合企業及資料數據中心的大型液冷散熱產品，包含水對氣/水對水/單向浸沒式/雙向浸沒式等產品，同時提供系統業者開發中央處理器（CPU）及繪圖處理器（GPU）的氣冷解決方案。廣運預計在台北國際電腦展中展出雙相浸沒式產品。"
時報資訊,《產業》廣運、其陽、工研院攜手 發表雙相浸沒式冷卻技術,"【時報記者任珮云台北報導】廣運(6125)、其陽(3564)和工業技術研究院(ITRI)今天公開攜手合作，針對其陽(3564)的SCB-1946 網路伺服器，導入先進的雙相浸沒式冷卻技術，實現高效能的熱管理並提升能源使用效率。並預計於2023年台北國際電腦展(Computex展)，發表此項先進液冷浸沒產品。
雙相浸入式冷卻技術是高性能計算（High Performance Computing, HPC）應用中，最佳的散熱解決方案之一。 在三方合作中，廣運(6125)與其陽(3564)與共同開發 2U雙相浸沒式冷卻系統，並與工研院電光系統所合作進行冷凝器的設計優化，以及晶片端的沸騰增強設計，進而開發出兼具高散熱能力與降低冷卻耗能之解決方案。
廣運(6125)兩相浸沒式散熱設計應用於其陽(3564)的SCB-1946網路伺服器，並與工研院電光系統所進行技術合作開發，整體系統散熱能力超過2,000W，電力使用效率（Power Usage Efficiency, PUE）接近1.0，滿足綠色供應鏈共創淨零碳排能，及「環境保護」、「社會責任」、「公司治理」ESG永續目標，同時還從經濟角度降低了運營成本。
廣運擁有47年的自動化研發製造能力，以及擁有大型公共工程自動化建置經驗。從2018年10月開始投入IDC產業的熱傳領域，並開發出適合企業及資料數據中心(Data Center)的大型液冷散熱產品，包含水對氣/水對水/單向浸沒式/雙向浸沒式等產品，同時提供系統業者開發CPU及GPU的氣冷解決方案。在散熱領域提供客戶 (Design for cost ；Design for budget) 的熱傳完整解決方案，使客戶在技術及成本上更具競爭力。
其陽為佳世達集團成員之一，為任何規模的客戶提供網絡設備的設計，擁有超過20年高性能網絡設備的經驗，受到國際頂級網路安全專家的信賴，提供Intel及AMD全系列處理器產品，運用靈活的硬體選購方案，滿足客戶的各種硬體需求，成為客戶值得信賴的合作夥伴。
工研院是世界領先的技術研發機構之一，以科技研發，帶動產業發展，創造經濟價值，增進社會福祉為任務。應對市場需求和全球趨勢。工研院推出2030 技術戰略和路線圖，重點關注智能生活、品質健康和可持續環境方面的創新發展，並著力強化智能化賦能技術，支撐多元化應用。自1973年成立以來，工研院累積近三萬件專利，並致力於孵化初創企業和衍生企業，其中包括聯電和台積電等知名企業。 除台灣總部外，工研院在美國、歐洲及日本設有分公司，致力擴大研發範圍及促進全球國際合作。"
中央社,廣運攜手其陽與工研院 開發雙相浸沒式冷卻技術,"（中央社記者張建中新竹2023年5月24日電）廣運 (6125) 今天宣布，與其陽 (3564) 和工研院攜手合作，針對其陽的網路伺服器，導入雙相浸沒式冷卻技術，實現高效能的熱管理，提升能源使用效率。
廣運表示，雙相浸沒式冷卻技術是高效能運算（HPC）應用中較佳的散熱解決方案之一。廣運與其陽共同開發雙相浸沒式冷卻系統，並與工研院電光系統所合作進行冷凝器的設計優化，以及晶片端的沸騰增強設計，進而開發出兼具高散熱能力與降低冷卻耗能的解決方案。
廣運指出，透過三方合作開發出的系統散熱能力超過2000W，電力使用效率（PUE）接近1.0，符合綠色供應鏈淨零碳排發展趨勢，從經濟角度，還有助降低運營成本。
廣運自2018年10月開始投入熱傳領域，開發適合企業及資料數據中心的大型液冷散熱產品，包含水對氣/水對水/單向浸沒式/雙向浸沒式等產品，同時提供系統業者開發中央處理器（CPU）及繪圖處理器（GPU）的氣冷解決方案。廣運預計在台北國際電腦展中展出雙相浸沒式產品。"
鉅亨網新聞中心,盤中速報 - 廣運(6125)股價大漲至34.3元，漲幅達7.02%,"廣運(6125-TW)29日09:17股價上漲2.25元，報34.3元，漲幅7.02%，成交4,522張。
廣運(6125-TW)所屬產業為光電業，主要業務為整廠自動化物流系統整合之工程服務。
近5日股價上漲8.64%，櫃買指數上漲1.54%，股價漲幅表現優於大盤。
近5日籌碼
三大法人合計買賣超：+9,352 張
外資買賣超：+9,674 張
投信買賣超：-500 張
自營商買賣超：+178 張
融資增減：-354 張
融券增減：+266 張
最新相關新聞
盤中速報 - 廣運(6125)急拉2.58%報33.75元，成交3,047張
【量大強漲股整理】輝達展望超級樂觀!三大法人同步買超，台股漲勢剛剛開始!
廣運、其陽攜手工研院 將在Computex展發表浸沒式冷卻技術
廣運轉投資中國安徽建案動土 擬Q4進入預售階段
廣運積極參展 除在手的50億元訂單還要提高市占率
更多鉅亨報導"
袁顥庭／台北報導,廣運ESG亮點 熱傳事業提供全方位解熱方案,"智慧系統整合廠廣運（6125）積極投入IDC產業的熱傳領域，COMPUTEX 2023展出水對氣／水對水／雙相浸沒式等產品，在散熱領域提供客戶熱傳導完整解決方案。
廣運執行長謝明凱表示，散熱解決方案擴及於五大產品市場領域，一、數據機房：機櫃背門換成液冷方，或機櫃使用浸沒方案，廣運提供PUE值優於國家標準，CDU（液冷主機）系統獲國際晶片大廠驗證。二、伺服器，可直接在伺服器上搭配水冷散熱方案，提供新世代資料中心的兩相浸沒式槽體+CDU（液冷主機），並與晶片大廠合作開發散熱產品，客製化開放式機架第三版機櫃水冷散熱建置，CDU 水、氣冷散熱模擬方案。三、5G基地台， 導入5G水冷主機+氣冷機櫃散熱方案，減少用電30％及二氧化碳排放量，戶外機櫃防水、防曬、防震，延長基站使用效率及週期。四、車載：電動車充電樁，或替代能源儲電及充電樁結合提供整合式散熱方案。五、儲能，例如太陽能加上儲能或大型儲能系統。
廣運今年已與多家國內外客戶的散熱需求專案設計規劃，更布局新專利在能源類的液冷散熱，目標於下半年陸續完成產品驗證及量產出貨，同時機房改建及新建案也持續擴大市場滲透率，將為集團另一ESG亮點的新綠色事業。
有鑒於國際雲端運算需求增加及大型IDC中心紛紛成立，未來數據中心及電動車充電相關的散熱需求與日俱增，廣運研發的微通道水冷背門可有效應用於用於數據中心的散熱及高密度伺服器儲存的建置部署，低耗能、低噪音、高解熱效能，可連接客戶端冷卻水或專用冷卻器結合運行使用。
此外，廣運與其陽共同開發雙相浸沒式冷卻系統，並與工研院電光系統所合作進行冷凝器的設計優化，以及晶片端的沸騰增強設計，進而開發出兼具高散熱能力與降低冷卻耗能之解決方案。
2023年全球電動車市場爆發式成長，廣運也針對目前高瓦數360kW以上快充站的充電樁散熱提供液冷方案，除了降低電力使用、降低噪音，並研發主動式CDU進行專利布局，透過液冷散熱提高電源轉換效率，使電源控制晶片壽命更加延長，提供安全穩定的充電環境。
更多中時新聞網報導又選前撒錢！軍公教加薪3％竟是「變相減薪」？全教會：這「調幅」才夠0056改季配對尬00878？達人建議存股黃金組合再＋1 月月加薪有息領美元對手不是人民幣！頭號大敵竟然是「它」"
鉅亨網新聞中心,"盤中速報 - 廣運(6125)急跌-2.0%報34.3元，成交4,624張","廣運(6125-TW)近5分K跌速2%，30日09:09報34.3元，成交4,624張。（註：漲跌速為5分K的漲跌幅）
廣運(6125-TW)近5日股價上漲16.61%，所屬產業為光電業，相關光電類指數上漲3.32%。櫃買指數上漲2.22%，股價漲幅表現優於大盤。
近5日籌碼
三大法人合計買賣超：+13,086 張
外資買賣超：+12,673 張
投信買賣超：0 張
自營商買賣超：+413 張
融資增減：+1,124 張
融券增減：+426 張
最新相關新聞
AI題材廣泛，高價位個股普遍都已漲高，才剛剛起漲低價位股才是利潤大於風險的安全操作
【量大強漲股整理】外資開始期現貨不同調?操作策略該怎麼改?
盤中速報 - 廣運(6125)股價拉至漲停，漲停價35.25元，成交19,813張
盤中速報 - 廣運(6125)股價大漲至34.3元，漲幅達7.02%
盤中速報 - 廣運(6125)急拉2.58%報33.75元，成交3,047張
更多鉅亨報導"
財訊快報,COMPUTEX 2023，廣運秀全方位解熱方案，發展數據機房五大產品,【財訊快報／記者巫彩蓮報導】廣運(6125)自2018年底成立熱傳事業群，並積極投入IDC產業的熱傳領域，於今(30)日登場COMPUTEX 2023展出重點包含水對氣/水對水/雙相浸沒式等產品，在散熱領域提供客戶(Design for cost；Design for budget)的熱傳導完整解決方案。廣運散熱解決方案擴及數據機房、伺服器、5G基地台、車載，以及儲能五大產品市場領域，今年已與多家國內外客戶的散熱需求專案設計規劃，佈局新專利在能源類的液冷散熱，目標於下半年陸續完成產品驗證及量產出貨。在數據機房散熱解決方案，機櫃背門換成液冷方，或機櫃使用浸沒方案，廣運提供PUE值優於國家標準，CDU(液冷主機)系統獲國際晶片大廠驗證；伺服器搭配水冷散熱方案，提供新世代資料中心的兩相浸沒式槽體+CDU(液冷主機)，並與晶片大廠合作開發散熱產品，客製化開放式機架第三版(ORv3)機櫃水冷散熱建置，CDU水、氣冷散熱模擬方案。至於儲能應用，例如太陽能加上儲能或大型儲能系統，以散熱儲能方案水冷板調節電池熱能，控制溫差在3度內，大幅延長儲能電池生命週期，大面積移除熱量，提高儲電密度，儲備電量時同時平衡熱耗。
袁顥庭／台北報導,廣運ESG亮點 熱傳事業提供全方位解熱方案,"智慧系統整合廠廣運（6125）積極投入IDC產業的熱傳領域，COMPUTEX 2023展出水對氣／水對水／雙相浸沒式等產品，在散熱領域提供客戶熱傳導完整解決方案。
廣運執行長謝明凱表示，散熱解決方案擴及於五大產品市場領域，一、數據機房：機櫃背門換成液冷方，或機櫃使用浸沒方案，廣運提供PUE值優於國家標準，CDU（液冷主機）系統獲國際晶片大廠驗證。二、伺服器，可直接在伺服器上搭配水冷散熱方案，提供新世代資料中心的兩相浸沒式槽體+CDU（液冷主機），並與晶片大廠合作開發散熱產品，客製化開放式機架第三版機櫃水冷散熱建置，CDU 水、氣冷散熱模擬方案。三、5G基地台， 導入5G水冷主機+氣冷機櫃散熱方案，減少用電30％及二氧化碳排放量，戶外機櫃防水、防曬、防震，延長基站使用效率及週期。四、車載：電動車充電樁，或替代能源儲電及充電樁結合提供整合式散熱方案。五、儲能，例如太陽能加上儲能或大型儲能系統。
廣運今年已與多家國內外客戶的散熱需求專案設計規劃，更布局新專利在能源類的液冷散熱，目標於下半年陸續完成產品驗證及量產出貨，同時機房改建及新建案也持續擴大市場滲透率，將為集團另一ESG亮點的新綠色事業。
有鑒於國際雲端運算需求增加及大型IDC中心紛紛成立，未來數據中心及電動車充電相關的散熱需求與日俱增，廣運研發的微通道水冷背門可有效應用於用於數據中心的散熱及高密度伺服器儲存的建置部署，低耗能、低噪音、高解熱效能，可連接客戶端冷卻水或專用冷卻器結合運行使用。
此外，廣運與其陽共同開發雙相浸沒式冷卻系統，並與工研院電光系統所合作進行冷凝器的設計優化，以及晶片端的沸騰增強設計，進而開發出兼具高散熱能力與降低冷卻耗能之解決方案。
2023年全球電動車市場爆發式成長，廣運也針對目前高瓦數360kW以上快充站的充電樁散熱提供液冷方案，除了降低電力使用、降低噪音，並研發主動式CDU進行專利布局，透過液冷散熱提高電源轉換效率，使電源控制晶片壽命更加延長，提供安全穩定的充電環境。
更多中時新聞網報導又選前撒錢！軍公教加薪3％竟是「變相減薪」？全教會：這「調幅」才夠0056改季配對尬00878？達人建議存股黃金組合再＋1 月月加薪有息領美元對手不是人民幣！頭號大敵竟然是「它」"
鉅亨網新聞中心,盤中速報 - 廣運(6125)股價大漲至37.0元，漲幅達7.71%,"廣運(6125-TW)02日09:00股價上漲2.65元，報37.0元，漲幅7.71%，成交2,162張。
廣運(6125-TW)所屬產業為光電業，主要業務為整廠自動化物流系統整合之工程服務。
近5日股價上漲5.21%，櫃買指數上漲2.09%，股價漲幅表現優於大盤。
近5日籌碼
三大法人合計買賣超：+3,333 張
外資買賣超：+4,998 張
投信買賣超：0 張
自營商買賣超：-1,665 張
融資增減：+1,303 張
融券增減：+81 張
最新相關新聞
〈台北國際電腦展〉廣運熱傳事業提供全方位解熱方案 五大應用成焦點
盤中速報 - 廣運(6125)急跌-2.0%報34.3元，成交4,624張
AI題材廣泛，高價位個股普遍都已漲高，才剛剛起漲低價位股才是利潤大於風險的安全操作
【量大強漲股整理】外資開始期現貨不同調?操作策略該怎麼改?
盤中速報 - 廣運(6125)股價拉至漲停，漲停價35.25元，成交19,813張
更多鉅亨報導"
鉅亨網新聞中心,盤中速報 - 廣運(6125)股價大漲至37.0元，漲幅達7.71%,"廣運(6125-TW)02日09:00股價上漲2.65元，報37.0元，漲幅7.71%，成交2,162張。
廣運(6125-TW)所屬產業為光電業，主要業務為整廠自動化物流系統整合之工程服務。
近5日股價上漲5.21%，櫃買指數上漲2.09%，股價漲幅表現優於大盤。
近5日籌碼
三大法人合計買賣超：+3,333 張
外資買賣超：+4,998 張
投信買賣超：0 張
自營商買賣超：-1,665 張
融資增減：+1,303 張
融券增減：+81 張
最新相關新聞
〈台北國際電腦展〉廣運熱傳事業提供全方位解熱方案 五大應用成焦點
盤中速報 - 廣運(6125)急跌-2.0%報34.3元，成交4,624張
AI題材廣泛，高價位個股普遍都已漲高，才剛剛起漲低價位股才是利潤大於風險的安全操作
【量大強漲股整理】外資開始期現貨不同調?操作策略該怎麼改?
盤中速報 - 廣運(6125)股價拉至漲停，漲停價35.25元，成交19,813張
更多鉅亨報導"
鉅亨網新聞中心,"盤中速報 - 廣運(6125)股價拉至漲停，漲停價37.75元，成交10,050張","廣運(6125-TW)02日09:11上漲3.4元，股價漲停報37.75元，委買10張、委賣4張，成交10,050張。
主要業務為整廠自動化物流系統整合之工程服務。所屬產業為光電業，相關光電類指數近5日上漲1.96%。
廣運(6125-TW)近5日股價上漲5.21%，櫃買指數上漲2.09%，股價漲幅表現優於大盤。
近5日籌碼
三大法人合計買賣超：+3,333 張
外資買賣超：+4,998 張
投信買賣超：0 張
自營商買賣超：-1,665 張
融資增減：+1,303 張
融券增減：+81 張
最新相關新聞
盤中速報 - 廣運(6125)股價大漲至37.0元，漲幅達7.71%
〈台北國際電腦展〉廣運熱傳事業提供全方位解熱方案 五大應用成焦點
盤中速報 - 廣運(6125)急跌-2.0%報34.3元，成交4,624張
AI題材廣泛，高價位個股普遍都已漲高，才剛剛起漲低價位股才是利潤大於風險的安全操作
【量大強漲股整理】外資開始期現貨不同調?操作策略該怎麼改?
更多鉅亨報導"
財訊快報,焦點股：廣運推出伺服器液冷解決方案，股價衝上漲停,【財訊快報／研究員莊家源】廣運(6125)為自動化設備廠，今年前4月營收18.5億元，年增16.22%。廣運在今年台北國際電腦展COMPUTEX展出水對氣、水對水、雙相浸沒式等產品，未來散熱解決方案將瞄準5大產品市場領域，包括數據機房、伺服器、5G基地台、車載、儲能等。在伺服器方面，廣運直接在伺服器上搭配水冷散熱，主要是提供資料中心雙相浸沒式槽體+CDU液冷主機，並與晶片大廠合作開發散熱產品，另外也與工研院合作發表千瓦級HPC雙相浸沒式冷卻技術，實現高散熱能力和降低冷卻耗能的雙相浸沒式冷卻技術，讓產業技術與成本更具競爭力。今日跳空上漲並鎖漲停價37.75元，創波段新高，目前所有均線皆呈上揚，呈多頭排列，半年線與年線黃金交叉，外資近10日買超逾1.4萬張，短線上籌碼面轉佳，股價應能維持強勁走勢。
財訊快報,熱門股：中興電、日月光投控、廣運、長聖、技嘉,中興電(1513)：台電變電所故障，配電系統升級議題又浮現，中興電手握台電GIS大單，訂單看到2025年。早盤再度站上121元的歷史新高。日月光投控(3711)：推出全新封裝技術FOCoS-Bridge，滿足AI與HPC需求，有望切入更多重量級客戶。早盤沿5日線強漲，漲幅達4%之上。廣運(6125)：與工研院、其陽科技合力研發出雙相浸沒式冷卻技術，協助晶片散熱更上一層樓，早盤開高走高衝上漲停板。長聖(6712)：細胞委製訂單滿載＋目前有7項新藥試驗進行中，5月營收達5402萬元的歷年同期新高。早盤股價開高走低，股價最高來到199.5元。技嘉(2376)：COMPUTEX推出資料中心AI新品獲矚目＋板卡、主機板下半年有望回溫。早盤股價開平走高，一路拉升逼近漲停板。(周佳蓉)
財訊快報,焦點股：廣運推出伺服器液冷解決方案，股價衝上漲停,【財訊快報／研究員莊家源】廣運(6125)為自動化設備廠，今年前4月營收18.5億元，年增16.22%。廣運在今年台北國際電腦展COMPUTEX展出水對氣、水對水、雙相浸沒式等產品，未來散熱解決方案將瞄準5大產品市場領域，包括數據機房、伺服器、5G基地台、車載、儲能等。在伺服器方面，廣運直接在伺服器上搭配水冷散熱，主要是提供資料中心雙相浸沒式槽體+CDU液冷主機，並與晶片大廠合作開發散熱產品，另外也與工研院合作發表千瓦級HPC雙相浸沒式冷卻技術，實現高散熱能力和降低冷卻耗能的雙相浸沒式冷卻技術，讓產業技術與成本更具競爭力。今日跳空上漲並鎖漲停價37.75元，創波段新高，目前所有均線皆呈上揚，呈多頭排列，半年線與年線黃金交叉，外資近10日買超逾1.4萬張，短線上籌碼面轉佳，股價應能維持強勁走勢。
財訊快報,熱門股：中興電、日月光投控、廣運、長聖、技嘉,中興電(1513)：台電變電所故障，配電系統升級議題又浮現，中興電手握台電GIS大單，訂單看到2025年。早盤再度站上121元的歷史新高。日月光投控(3711)：推出全新封裝技術FOCoS-Bridge，滿足AI與HPC需求，有望切入更多重量級客戶。早盤沿5日線強漲，漲幅達4%之上。廣運(6125)：與工研院、其陽科技合力研發出雙相浸沒式冷卻技術，協助晶片散熱更上一層樓，早盤開高走高衝上漲停板。長聖(6712)：細胞委製訂單滿載＋目前有7項新藥試驗進行中，5月營收達5402萬元的歷年同期新高。早盤股價開高走低，股價最高來到199.5元。技嘉(2376)：COMPUTEX推出資料中心AI新品獲矚目＋板卡、主機板下半年有望回溫。早盤股價開平走高，一路拉升逼近漲停板。(周佳蓉)
財訊快報,熱門股：中興電、日月光投控、廣運、長聖、技嘉,中興電(1513)：台電變電所故障，配電系統升級議題又浮現，中興電手握台電GIS大單，訂單看到2025年。早盤再度站上121元的歷史新高。日月光投控(3711)：推出全新封裝技術FOCoS-Bridge，滿足AI與HPC需求，有望切入更多重量級客戶。早盤沿5日線強漲，漲幅達4%之上。廣運(6125)：與工研院、其陽科技合力研發出雙相浸沒式冷卻技術，協助晶片散熱更上一層樓，早盤開高走高衝上漲停板。長聖(6712)：細胞委製訂單滿載＋目前有7項新藥試驗進行中，5月營收達5402萬元的歷年同期新高。早盤股價開高走低，股價最高來到199.5元。技嘉(2376)：COMPUTEX推出資料中心AI新品獲矚目＋板卡、主機板下半年有望回溫。早盤股價開平走高，一路拉升逼近漲停板。(周佳蓉)
財訊快報,熱門股：中興電、日月光投控、廣運、長聖、技嘉,中興電(1513)：台電變電所故障，配電系統升級議題又浮現，中興電手握台電GIS大單，訂單看到2025年。早盤再度站上121元的歷史新高。日月光投控(3711)：推出全新封裝技術FOCoS-Bridge，滿足AI與HPC需求，有望切入更多重量級客戶。早盤沿5日線強漲，漲幅達4%之上。廣運(6125)：與工研院、其陽科技合力研發出雙相浸沒式冷卻技術，協助晶片散熱更上一層樓，早盤開高走高衝上漲停板。長聖(6712)：細胞委製訂單滿載＋目前有7項新藥試驗進行中，5月營收達5402萬元的歷年同期新高。早盤股價開高走低，股價最高來到199.5元。技嘉(2376)：COMPUTEX推出資料中心AI新品獲矚目＋板卡、主機板下半年有望回溫。早盤股價開平走高，一路拉升逼近漲停板。(周佳蓉)
財訊快報,熱門股：中興電、日月光投控、廣運、長聖、技嘉,中興電(1513)：台電變電所故障，配電系統升級議題又浮現，中興電手握台電GIS大單，訂單看到2025年。早盤再度站上121元的歷史新高。日月光投控(3711)：推出全新封裝技術FOCoS-Bridge，滿足AI與HPC需求，有望切入更多重量級客戶。早盤沿5日線強漲，漲幅達4%之上。廣運(6125)：與工研院、其陽科技合力研發出雙相浸沒式冷卻技術，協助晶片散熱更上一層樓，早盤開高走高衝上漲停板。長聖(6712)：細胞委製訂單滿載＋目前有7項新藥試驗進行中，5月營收達5402萬元的歷年同期新高。早盤股價開高走低，股價最高來到199.5元。技嘉(2376)：COMPUTEX推出資料中心AI新品獲矚目＋板卡、主機板下半年有望回溫。早盤股價開平走高，一路拉升逼近漲停板。(周佳蓉)
